Transaction Date;Description;Amount
10 Sep 2025;SINGLE O SURRY HILLS;11.15
11 Sep 2025;AMAZON AU MARKETPLACE;72.30
12 Sep 2025;BREWTOWN NEWTOWN;6.55
12 Sep 2025;KMART BROADWAY;10.89
15 Sep 2025;BREWTOWN NEWTOWN;9.45
15 Sep 2025;NETFLIX.COM;22.99
18 Sep 2025;BREWTOWN NEWTOWN;10.78
18 Sep 2025;CHEMIST WAREHOUSE NEWTOWN;112.18
19 Sep 2025;CAMPOS COFFEE NEWTOWN;10.23
20 Sep 2025;AMAZON AU MARKETPLACE;34.90
20 Sep 2025;COLES 0870 BROADWAY;75.83
21 Sep 2025;COLES 0870 BROADWAY;139.58
22 Sep 2025;BREWTOWN NEWTOWN;5.76
22 Sep 2025;COLES 0870 BROADWAY;51.44
23 Sep 2025;CAMPOS COFFEE NEWTOWN;6.24
24 Sep 2025;ALDI STORES - MARRICKVILLE;82.13
24 Sep 2025;SINGLE O SURRY HILLS;10.24
25 Sep 2025;CHEMIST WAREHOUSE NEWTOWN;82.19
25 Sep 2025;COLES 0870 BROADWAY;57.82
25 Sep 2025;PAYMENT RECEIVED THANK YOU;-672.64
27 Sep 2025;ALDI STORES - MARRICKVILLE;72.62
02 Oct 2025;SINGLE O SURRY HILLS;8.53
03 Oct 2025;SINGLE O SURRY HILLS;10.69
03 Oct 2025;SPOTIFY STOCKHOLM;12.99
04 Oct 2025;ALDI STORES - MARRICKVILLE;87.26
05 Oct 2025;AMAZON AU MARKETPLACE;96.38
05 Oct 2025;COLES 0870 BROADWAY;108.76
08 Oct 2025;BREWTOWN NEWTOWN;10.12
10 Oct 2025;BREWTOWN NEWTOWN;9.42
13 Oct 2025;ALDI STORES - MARRICKVILLE;114.36
13 Oct 2025;AMAZON AU MARKETPLACE;73.59
13 Oct 2025;SINGLE O SURRY HILLS;7.80
14 Oct 2025;ALDI STORES - MARRICKVILLE;108.71
14 Oct 2025;CAMPOS COFFEE NEWTOWN;5.10
15 Oct 2025;COLES 0870 BROADWAY;15.61
15 Oct 2025;NETFLIX.COM;22.99
16 Oct 2025;SINGLE O SURRY HILLS;9.81
18 Oct 2025;ALDI STORES - MARRICKVILLE;50.53
19 Oct 2025;COLES 0870 BROADWAY;134.06
20 Oct 2025;SINGLE O SURRY HILLS;5.60
21 Oct 2025;CAMPOS COFFEE NEWTOWN;11.33
22 Oct 2025;AMAZON AU MARKETPLACE;27.61
22 Oct 2025;BUNNINGS ALEXANDRIA;102.42
23 Oct 2025;SINGLE O SURRY HILLS;11.43
24 Oct 2025;AMAZON AU MARKETPLACE;139.96
24 Oct 2025;SINGLE O SURRY HILLS;6.20
25 Oct 2025;AMAZON AU MARKETPLACE;46.63
25 Oct 2025;KMART BROADWAY;97.30
25 Oct 2025;PAYMENT RECEIVED THANK YOU;-1403.89
26 Oct 2025;COLES 0870 BROADWAY;26.00
29 Oct 2025;CAMPOS COFFEE NEWTOWN;7.67
31 Oct 2025;SINGLE O SURRY HILLS;4.88
02 Nov 2025;ALDI STORES - MARRICKVILLE;91.71
03 Nov 2025;SINGLE O SURRY HILLS;11.59
03 Nov 2025;SPOTIFY STOCKHOLM;12.99
06 Nov 2025;BREWTOWN NEWTOWN;5.17
09 Nov 2025;COLES 0870 BROADWAY;80.02
15 Nov 2025;NETFLIX.COM;22.99
16 Nov 2025;ALDI STORES - MARRICKVILLE;17.61
17 Nov 2025;COLES 0870 BROADWAY;116.84
18 Nov 2025;SINGLE O SURRY HILLS;8.68
19 Nov 2025;SINGLE O SURRY HILLS;4.83
21 Nov 2025;CAMPOS COFFEE NEWTOWN;10.62
21 Nov 2025;JB HI-FI BROADWAY;1299.00
22 Nov 2025;ALDI STORES - MARRICKVILLE;110.75
24 Nov 2025;BREWTOWN NEWTOWN;6.68
25 Nov 2025;BREWTOWN NEWTOWN;12.20
25 Nov 2025;PAYMENT RECEIVED THANK YOU;-1981.96
26 Nov 2025;ALDI STORES - MARRICKVILLE;81.51
26 Nov 2025;BREWTOWN NEWTOWN;7.71
27 Nov 2025;CAMPOS COFFEE NEWTOWN;5.08
28 Nov 2025;SINGLE O SURRY HILLS;6.29
02 Dec 2025;JB HI-FI BROADWAY REFUND;-129.00
03 Dec 2025;BREWTOWN NEWTOWN;12.45
03 Dec 2025;SPOTIFY STOCKHOLM;12.99
04 Dec 2025;SINGLE O SURRY HILLS;10.46
05 Dec 2025;ALDI STORES - MARRICKVILLE;125.18
05 Dec 2025;CAMPOS COFFEE NEWTOWN;8.41
06 Dec 2025;COLES 0870 BROADWAY;32.23
07 Dec 2025;ALDI STORES - MARRICKVILLE;23.53
08 Dec 2025;CAMPOS COFFEE NEWTOWN;4.94
09 Dec 2025;BREWTOWN NEWTOWN;5.04
10 Dec 2025;CAMPOS COFFEE NEWTOWN;5.34
11 Dec 2025;CAMPOS COFFEE NEWTOWN;10.85
12 Dec 2025;BREWTOWN NEWTOWN;5.14
12 Dec 2025;CHEMIST WAREHOUSE NEWTOWN;118.75
13 Dec 2025;ALDI STORES - MARRICKVILLE;77.73
14 Dec 2025;ALDI STORES - MARRICKVILLE;72.37
14 Dec 2025;AMAZON AU MARKETPLACE;56.88
15 Dec 2025;AMAZON AU MARKETPLACE;110.39
15 Dec 2025;NETFLIX.COM;22.99
16 Dec 2025;CAMPOS COFFEE NEWTOWN;7.92
17 Dec 2025;SINGLE O SURRY HILLS;5.19
18 Dec 2025;SINGLE O SURRY HILLS;11.30
19 Dec 2025;BUNNINGS ALEXANDRIA;105.06
22 Dec 2025;SINGLE O SURRY HILLS;7.81
25 Dec 2025;PAYMENT RECEIVED THANK YOU;-965.74
26 Dec 2025;SINGLE O SURRY HILLS;7.98
30 Dec 2025;COLES 0870 BROADWAY;98.05
30 Dec 2025;SINGLE O SURRY HILLS;6.71
01 Jan 2026;COLES 0870 BROADWAY;132.85
03 Jan 2026;SPOTIFY STOCKHOLM;12.99
05 Jan 2026;BREWTOWN NEWTOWN;9.53
06 Jan 2026;ALDI STORES - MARRICKVILLE;26.41
06 Jan 2026;CAMPOS COFFEE NEWTOWN;5.79
08 Jan 2026;CAMPOS COFFEE NEWTOWN;10.40
09 Jan 2026;CHEMIST WAREHOUSE NEWTOWN;89.27
11 Jan 2026;ALDI STORES - MARRICKVILLE;103.07
12 Jan 2026;BREWTOWN NEWTOWN;9.80
13 Jan 2026;CAMPOS COFFEE NEWTOWN;11.77
14 Jan 2026;SINGLE O SURRY HILLS;6.31
15 Jan 2026;BREWTOWN NEWTOWN;5.68
15 Jan 2026;NETFLIX.COM;22.99
18 Jan 2026;ALDI STORES - MARRICKVILLE;49.90
18 Jan 2026;BUNNINGS ALEXANDRIA;18.76
19 Jan 2026;CAMPOS COFFEE NEWTOWN;7.56
20 Jan 2026;AMAZON AU MARKETPLACE;97.24
20 Jan 2026;SINGLE O SURRY HILLS;7.60
21 Jan 2026;CAMPOS COFFEE NEWTOWN;12.31
22 Jan 2026;CAMPOS COFFEE NEWTOWN;5.28
23 Jan 2026;SINGLE O SURRY HILLS;8.50
25 Jan 2026;PAYMENT RECEIVED THANK YOU;-766.75
26 Jan 2026;ALDI STORES - MARRICKVILLE;135.50
26 Jan 2026;AMAZON AU MARKETPLACE;102.02
26 Jan 2026;BREWTOWN NEWTOWN;8.28
28 Jan 2026;CAMPOS COFFEE NEWTOWN;9.31
29 Jan 2026;AMAZON AU MARKETPLACE;22.97
29 Jan 2026;BREWTOWN NEWTOWN;12.32
29 Jan 2026;BUNNINGS ALEXANDRIA;24.28
02 Feb 2026;SINGLE O SURRY HILLS;5.94
03 Feb 2026;SINGLE O SURRY HILLS;10.35
03 Feb 2026;SPOTIFY STOCKHOLM;12.99
04 Feb 2026;AMAZON AU MARKETPLACE;38.20
06 Feb 2026;CAMPOS COFFEE NEWTOWN;11.47
07 Feb 2026;ALDI STORES - MARRICKVILLE;122.36
08 Feb 2026;ALDI STORES - MARRICKVILLE;90.75
09 Feb 2026;COLES 0870 BROADWAY;53.47
10 Feb 2026;AMAZON AU MARKETPLACE;27.50
10 Feb 2026;BREWTOWN NEWTOWN;9.29
10 Feb 2026;BUNNINGS ALEXANDRIA;98.04
11 Feb 2026;BREWTOWN NEWTOWN;7.27
13 Feb 2026;SINGLE O SURRY HILLS;9.99
15 Feb 2026;NETFLIX.COM;22.99
16 Feb 2026;ALDI STORES - MARRICKVILLE;91.47
17 Feb 2026;CHEMIST WAREHOUSE NEWTOWN;25.23
19 Feb 2026;SINGLE O SURRY HILLS;7.08
20 Feb 2026;BREWTOWN NEWTOWN;11.39
23 Feb 2026;BREWTOWN NEWTOWN;11.61
