Date,Description,Amount,Balance,Status
2025-09-10,OPAL TOP UP TRANSPORTNSW,-24.69,4100.81,Posted
2025-09-11,OPAL TOP UP TRANSPORTNSW,-20.70,4080.11,Posted
2025-09-12,OPAL TOP UP TRANSPORTNSW,-48.60,4031.51,Posted
2025-09-12,WOOLWORTHS 1234 NEWTOWN,-102.29,3929.22,Posted
2025-09-13,7-ELEVEN 2410 ST PETERS,-57.11,3872.11,Posted
2025-09-13,GUZMAN Y GOMEZ BROADWAY,-28.07,3844.04,Posted
2025-09-14,THAI POTHONG NEWTOWN,-18.79,3825.25,Posted
2025-09-15,ANYTIME FITNESS NEWTOWN,-28.95,3796.30,Posted
2025-09-15,MCDONALDS NEWTOWN,-54.77,3741.53,Posted
2025-09-16,WOOLWORTHS METRO 1188 SYDNEY,-126.83,3614.70,Posted
2025-09-17,PAYROLL ACME PTY LTD,3250.00,6864.70,Posted
2025-09-17,WOOLWORTHS 1234 NEWTOWN,-85.72,6778.98,Posted
2025-09-18,OPAL TOP UP TRANSPORTNSW,-20.45,6758.53,Posted
2025-09-18,WOOLWORTHS 1234 NEWTOWN,-72.11,6686.42,Posted
2025-09-20,AUSSIE BROADBAND PTY LTD,-89.00,6597.42,Posted
2025-09-20,WOOLWORTHS METRO 1188 SYDNEY,-33.95,6563.47,Posted
2025-09-21,BP MARRICKVILLE 2204,-78.82,6484.65,Posted
2025-09-22,OPAL TOP UP TRANSPORTNSW,-28.36,6456.29,Posted
2025-09-22,WOOLWORTHS 1234 NEWTOWN,-71.20,6385.09,Posted
2025-09-23,WOOLWORTHS 1234 NEWTOWN,-57.36,6327.73,Posted
2025-09-25,OPAL TOP UP TRANSPORTNSW,-31.93,6295.80,Posted
2025-09-25,PAYMENT TO CREDIT CARD 4321,-672.64,5623.16,Posted
2025-09-29,7-ELEVEN 2410 ST PETERS,-77.67,5545.49,Posted
2025-09-29,ANYTIME FITNESS NEWTOWN,-28.95,5516.54,Posted
2025-09-30,OPAL TOP UP TRANSPORTNSW,-27.66,5488.88,Posted
2025-10-01,PAYROLL ACME PTY LTD,3250.00,8738.88,Posted
2025-10-01,RENT 22 KING ST NEWTOWN,-1950.00,6788.88,Posted
2025-10-01,WOOLWORTHS METRO 1188 SYDNEY,-39.89,6748.99,Posted
2025-10-02,OPAL TOP UP TRANSPORTNSW,-40.41,6708.58,Posted
2025-10-02,TRANSFER TO SAVINGS,-800.00,5908.58,Posted
2025-10-03,OPAL TOP UP TRANSPORTNSW,-28.45,5880.13,Posted
2025-10-04,GUZMAN Y GOMEZ BROADWAY,-42.22,5837.91,Posted
2025-10-08,BP MARRICKVILLE 2204,-55.40,5782.51,Posted
2025-10-08,OPAL TOP UP TRANSPORTNSW,-46.80,5735.71,Posted
2025-10-08,TELSTRA MOBILE,-65.00,5670.71,Posted
2025-10-08,THAI POTHONG NEWTOWN,-60.60,5610.11,Posted
2025-10-08,WOOLWORTHS METRO 1188 SYDNEY,-143.67,5466.44,Posted
2025-10-09,WOOLWORTHS METRO 1188 SYDNEY,-146.03,5320.41,Posted
2025-10-10,OPAL TOP UP TRANSPORTNSW,-21.38,5299.03,Posted
2025-10-11,UBER* EATS SYDNEY,-63.65,5235.38,Posted
2025-10-11,WOOLWORTHS METRO 1188 SYDNEY,-122.04,5113.34,Posted
2025-10-12,MARY S NEWTOWN,-56.90,5056.44,Posted
2025-10-13,ANYTIME FITNESS NEWTOWN,-28.95,5027.49,Posted
2025-10-13,OPAL TOP UP TRANSPORTNSW,-22.27,5005.22,Posted
2025-10-14,AGL ENERGY ONLINE,-276.61,4728.61,Posted
