Date,Narrative,Debit,Credit,Balance
30/09/2025,INTEREST,,$44.41,"$12,444.41"
03/10/2025,TRANSFER FROM EVERYDAY,,$800.00,"$13,244.41"
31/10/2025,INTEREST,,$42.12,"$13,286.53"
03/11/2025,TRANSFER FROM EVERYDAY,,$800.00,"$14,086.53"
30/11/2025,INTEREST,,$41.60,"$14,128.13"
03/12/2025,TRANSFER FROM EVERYDAY,,$800.00,"$14,928.13"
31/12/2025,INTEREST,,$45.71,"$14,973.84"
03/01/2026,TRANSFER FROM EVERYDAY,,$800.00,"$15,773.84"
31/01/2026,INTEREST,,$44.56,"$15,818.40"
03/02/2026,TRANSFER FROM EVERYDAY,,$800.00,"$16,618.40"
28/02/2026,INTEREST,,$45.92,"$16,664.32"
03/03/2026,TRANSFER FROM EVERYDAY,,$800.00,"$17,464.32"
31/03/2026,INTEREST,,$28.53,"$17,492.85"
03/04/2026,TRANSFER FROM EVERYDAY,,$800.00,"$18,292.85"
30/04/2026,INTEREST,,$29.17,"$18,322.02"
03/05/2026,TRANSFER FROM EVERYDAY,,$800.00,"$19,122.02"
18/05/2026,TRANSFER TO EVERYDAY,"$1,500.00",,"$17,622.02"
31/05/2026,INTEREST,,$39.61,"$17,661.63"
03/06/2026,TRANSFER FROM EVERYDAY,,$800.00,"$18,461.63"
30/06/2026,INTEREST,,$34.77,"$18,496.40"
03/07/2026,TRANSFER FROM EVERYDAY,,$800.00,"$19,296.40"
31/07/2026,INTEREST,,$45.41,"$19,341.81"
03/08/2026,TRANSFER FROM EVERYDAY,,$800.00,"$20,141.81"
31/08/2026,INTEREST,,$36.52,"$20,178.33"
03/09/2026,TRANSFER FROM EVERYDAY,,$800.00,"$20,978.33"
